,movie_id,title,tags
10,69.0,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins. germany prison music record adultery loss of loved one country music guitar concert marriage single johnny cash accident 1960s 드라마 음악 로맨스 "
11,70.0,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her. transporter suicide attempt fight strong woman boxer dying and death stroke of fate training advancement tragedy female protagonist brutality boxing trainer unlikely friendship female boxing knockout euthanasia determination 드라마 "
12,71.0,Billy Elliot,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes. dancing homophobia workers' quarter dancing class strike northern england scholarship ballet coming of age single father audition dance class ballet school dance teacher 1980s miners strike durham england father son relationship ballet dancing gay 드라마 코미디 음악 "
13,73.0,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did. neo-nazism prison skinhead sibling relationship rape fascism brother jail school swastika los angeles, california family xenophobia interracial friendship nazism 드라마 "
14,75.0,Mars Attacks!,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s. saving the world total destruction the white house planet mars usa president cataclysm laser gun ambassador congress flying saucer horror based on comic parody alien dark comedy creature alien invasion horror comedy outer space 판타지 코미디 SF "
15,77.0,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why. insulin tattoo waitress amnesia drug dealer motel manipulation insurance salesman revenge murder flashback confusion memory loss psychological thriller whodunit los angeles, california polaroid cult film nonlinear timeline individuality phone call neo-noir reverse chronology 스릴러 미스터리 "
16,79.0,Hero,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China. countryside loss of loved one martial arts kung fu right and justice patriot wuxia warring states period 3rd century bc 모험 드라마 액션 역사 
17,81.0,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth. saving the world human vs nature fungus spores    future airplane post-apocalyptic future giant insect toxic based on manga ecology duringcreditsstinger anime 모험 판타지 애니메이션 "
18,82.0,Miami Vice,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves. miami, florida florida undercover remake drug dealing police detective urban setting police investigation havana, cuba speedboat  action hero 액션 스릴러 범죄 "
19,85.0,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime. saving the world riddle nepal himalaya cairo moses egypt whip treasure medallion leather jacket nazi hat mediterranean ark of the covenant ten commandments treasure hunt excavation swastika archaeologist adventurer archeology religious history 1930s 모험 액션 "
20,88.0,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love. dancing sibling relationship hotel robbery dancing master mambo dance performance daughter summer camp secret love coming of age teenage crush teenage girl doctor class differences family holiday sensuality summer romance catskill resort 드라마 음악 로맨스 "
21,90.0,Beverly Hills Cop,"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure. california showdown undercover strip club investigation police smuggling (contraband) swimming pool gunfight mansion los angeles, california foot chase art gallery detroit, michigan warehouse beverly hills buddy cop buddy comedy country club maverick cop damsel in distress bar fight 액션 코미디 범죄 "
22,104.0,Run Lola Run,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run. berlin, germany casino nun red hair homeless person supermarket ambulance subway daughter money fate 드라마 액션 스릴러 "
23,107.0,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond. england gypsy gambling bare knuckle boxing slang robbery trailer park antwerp boxer gangster pig underground fighting cult film diamond heist pikey 코미디 범죄 "
24,110.0,Three Colors: Red,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life. judge isolation mannequin shadowing english channel geneva, switzerland travel dog 드라마 미스터리 로맨스 "
25,113.0,"Spring, Summer, Fall, Winter... and Spring","An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by. buddhism life and death philosophy countryside becoming an adult buddhist monk temple mountain lake meditation isolation attachment to nature religious education cycle penalty mortification restart taskmaster dying and death season child 드라마 "
26,123.0,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth. elves dwarf hobbit based on novel or book mission middle-earth 모험 판타지 애니메이션 
27,128.0,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict. fight wolf leprosy pan wild boar territory feral child friendship princess rural area decapitation spirit demon deforestation anime 모험 판타지 애니메이션 "
28,134.0,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'. prophecy southern usa music record country music mississippi river seduction fraud 모험 코미디 범죄 "
29,136.0,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance. dwarf infidelity attempted murder clown beauty carnival revenge murder cult film newlywed bigotry disability sideshow told in flashback speech impediment trapeze artist stutterer deformity conjoined twins freak armless midgets midget bareback rider legless man poisoned drink pseudo-hermaphrodite bearded lady microcephalics human skeleton 드라마 공포 "
30,137.0,Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over. deja vu groundhog weather forecast telecaster pennsylvania, usa alarm clock winter time warp time loop cult film magic realism existentialism groundhog day 판타지 드라마 코미디 로맨스 "
31,138.0,Dracula,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing. transylvania based on novel or book monster castle vampire spider bat count based on play or musical undead sanitarium black and white pre-code real estate agent lunatic dracula 판타지 드라마 공포 "
32,143.0,All Quiet on the Western Front,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose. germany disillusion based on novel or book patriotism world war i friendship army boot camp battlefield steel helmet atrocity black and white soldier combat warfare death pre-code anti war mud trenches young soldier battlefield trauma 드라마 전쟁 "
33,144.0,Wings of Desire,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds -- with some words of wisdom from actor Peter Falk -- that it might be possible for him to take human form. berlin, germany angel circus berlin wall library dream immortality mortality 판타지 드라마 로맨스 "
34,146.0,"Crouching Tiger, Hidden Dragon","Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life. flying martial arts kung fu based on novel or book mountain sword taskmaster comb tiger fistfight sword fight thief revenge villainess theft historical female martial artist 18th century wuxia warrior bamboo tavern fight action hero qing dynasty 모험 드라마 액션 로맨스 "
35,147.0,The 400 Blows,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures. paris, france delinquent fondling coming of age fingerprint semi autobiographical skipping school mugshot strict teacher montmartre paris 드라마 "
36,150.0,48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer. prison san francisco, california knife partner revenge convict buddy cop tough cop fake fight dysfunctional relationship 드라마 액션 코미디 스릴러 범죄 "
37,152.0,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it. artificial intelligence man vs machine san francisco, california self sacrifice starship spacecraft teleportation space opera reunited friends outer space 모험 SF 미스터리 "
38,157.0,Star Trek III: The Search for Spock,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body. genesis starship spacecraft teleportation friendship resurrection destruction of planet space opera alien friendship father son relationship mating ritual outer space 모험 액션 스릴러 SF 
39,161.0,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess. prison pickpocket strip club thief caper heist con artist atlantic city salt lake city, utah las vegas card dealer explosives expert 스릴러 범죄 "
40,164.0,Breakfast at Tiffany's,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way. new york city loss of loved one age difference cat broken engagement love of one's life cigarette jewelry store window millionaire 코미디 로맨스 "
41,168.0,Star Trek IV: The Voyage Home,"It's the 23rd century, and a mysterious alien power is threatening Earth by evaporating the oceans and destroying the atmosphere. In a frantic attempt to save mankind, Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien as anything they've ever encountered in the far reaches of the galaxy. A thrilling, action-packed Star Trek adventure! saving the world san francisco, california uss enterprise-a starship spacecraft teleportation time travel whale marine biologist humpback whale space opera whaling ship aircraft carrier outer space space probe cloaking device 모험 SF "
42,179.0,The Interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate. new york city dictator africa destruction of a civilization assassination resistance fbi revenge murder united nations witness to murder resistance fighter 스릴러 범죄 "
43,186.0,Lucky Number Slevin,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. assassination assassin identity sniper fbi mistake in person gangster gambling debt boss murder sniper rifle horse racing gambler hoodlum 드라마 스릴러 범죄 미스터리 "
44,187.0,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care. dystopia based on comic held captive based on graphic novel mysterious killer doing the right thing silhouette neo-noir short stories 액션 스릴러 범죄 "
45,194.0,Amélie,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story? paris, france love triangle ghost train sex shop shyness montmartre daughter garden gnome journey around the world photography magic realism montmartre paris 코미디 로맨스 "
46,196.0,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen. railroad robber california delorean indian territory sports car inventor locomotive saloon horseback riding time travel outlaw sequel mad scientist native american shootout gunfight train wild west cavalry 1950s hoverboard flying train 모험 코미디 SF "
47,199.0,Star Trek: First Contact,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy. borg enterprise-e cyborg montana resistance inventor starship repayment obsession spacecraft teleportation time travel speed of light business start-up space opera first contact outer space traumatized man wolf 359 모험 액션 스릴러 SF "
48,200.0,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded. fountain of youth starship spacecraft utopia teleportation insurrection alien space opera retribution spacecraft officer exploding ship cosmos technophobia synthetic android outer space 모험 액션 스릴러 SF "
49,201.0,Star Trek: Nemesis,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself. clone assassination ambush enterprise-e romulus android senate self sacrifice starship telepathy spacecraft teleportation romulans space opera outer space 모험 액션 스릴러 SF "
50,213.0,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase. new york city assassination spy mount rushmore national memorial undercover agent romance mistaken identity on the run fugitive espionage advertising framed government agent framed for murder 스릴러 미스터리 "
51,217.0,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts. saving the world riddle whip treasure mexico city, mexico leather jacket machinegun maya civilization peru treasure hunt nuclear explosion alien refrigerator archaeologist adventurer indiana jones area 51 archeology 1950s father son relationship 모험 액션 "
52,219.0,Volver,"Raimunda lives and works in Madrid with her husband Paco and their daughter Paula. Raimunda's sister Sole lives nearby. The two sisters miss their mother Irene who died several years ago in a house fire along with their father. When a former neighbor from their hometown reports that she has seen the ghost of Irene, the daughters do not believe her. After a murder and a family tragedy, however, Irene's spirit materializes around her daughters to comfort them. child abuse rape fire sexual abuse madrid, spain return solidarity village superstition death ghost abusive father 드라마 코미디 로맨스 "
53,221.0,Rebel Without a Cause,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin. individual rebel street gang car race parent child relationship underground world authority unsociability coming of age based on short story teen rebel griffith observatory teenager 드라마 "
54,232.0,Rumble Fish,"Rusty James, an absent-minded street thug, struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on. street gang pool billiards gang thug tulsa, oklahoma brother brother relationship based on young adult novel 드라마 액션 범죄 "
55,241.0,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media. sadistic journalist mass murder yellow press pop culture trauma daughter satire controversy cult film young couple abuse 드라마 스릴러 범죄 
56,242.0,The Godfather: Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing. italy christianity new york city assassination italian american vatican pope confession helicopter symbolism gangster daughter revenge organized crime mafia lawyer 드라마 스릴러 범죄 "
57,244.0,King Kong,"Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world. new york city screenplay movie business exotic island island ship great depression unsociability dinosaur black and white pre-code sea voyage damsel in distress empire state building giant ape animal horror great ape 모험 판타지 액션 "
58,249.0,The War of the Roses,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far. gymnastics candelabrum cat lawyer dog 드라마 코미디 "
59,260.0,The 39 Steps,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps."" london, england scotland falsely accused scotland yard secret agent noir murder conspiracy on the run fugitive black and white moor (terrain) handcuffed campaign speech college professor memorization government secrets runaway couple posing as newlyweds suspicious husband london palladium 스릴러 미스터리 "
60,275.0,Fargo,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha! cheating ransom minnesota salesclerk winter kidnapping unsociability police north dakota murder dark comedy money police officer car dealership woodchipper false history neo-noir minneapolis 드라마 스릴러 범죄 "
61,279.0,Amadeus,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men. italy austria composer opera talent emperor musician marriage crisis mozart god murder vienna, austria envy 18th century 드라마 역사 음악 "
62,293.0,A River Runs Through It,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's. individual sibling relationship gambling montana journalist prohibition era fishing fly fishing pastor 드라마 가족 "
63,301.0,Rio Bravo,"The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies - a disgraced drunk and a cantankerous old cripple - must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach. sheriff small town gun marshal texas deputy murder jail alcoholic stagecoach gambler cripple based on short story gunfighter technicolor two guns belt 서부 "
64,303.0,Notorious,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover. poison love at first sight marriage proposal undercover patriotism rio de janeiro wine cellar fbi atomic bomb staircase nazi daughter noir espionage black and white millionaire intoxication 스릴러 미스터리 로맨스 "
65,306.0,Beverly Hills Cop III,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss. detective undercover carousel  investigation sequel rescue counterfeit shootout dirty cop gunfight los angeles, california explosion foot chase framed secret service amusement park roller coaster beverly hills buddy cop buddy comedy 액션 코미디 범죄 "
66,307.0,"Rome, Open City","A realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with its mix of fiction and reality that strengthened Italian Neo-realism and the film industry. rome, italy resistance fascism drug addiction curfew desertion nazi neo realism italian neo realism 드라마 역사 "
67,319.0,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it. loss of loved one movie business parent child relationship mexican standoff cocaine love mafia los angeles, california drugs illegal prostitution gun violence neo-noir 액션 스릴러 범죄 로맨스 "
68,322.0,Mystic River,"The lives of three men who were childhood friends are shattered when one of them has a family tragedy. child abuse loss of loved one sexual abuse based on novel or book repayment suppressed past arbitrary law boston, massachusetts workers' quarter massachusetts loyalty whodunit guilt childhood sexual abuse vengeance 드라마 스릴러 범죄 미스터리 "
69,326.0,Snakes on a Plane,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors. snake fbi airplane animal attack death first class duringcreditsstinger snake attack witness to a crime 공포 액션 스릴러 범죄 "
70,334.0,Magnolia,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley. farewell loss of loved one regret parent child relationship suicide attempt becoming an adult dying and death chance child prodigy daughter unsociability reconciliation san fernando valley multiple storylines frog weird rain 드라마 "
71,345.0,Eyes Wide Shut,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head. new york city sexual obsession prostitute based on novel or book christmas party eroticism orgy masked ball sacrifice secret society cult conspiracy marijuana mansion lust drugs disguise illegal prostitution cult film sexual desire voyeurism erotic thriller sex party marital crisis costume shop hooker 드라마 스릴러 미스터리 "
72,346.0,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. japan samurai sword peasant looting rice fencing village epic moral ambiguity battle bandit practice 16th century 드라마 액션 "
73,380.0,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country. individual loss of loved one mentally disabled autism yuppie car dealer egocentrism road trip blackjack cincinnati travel convertible las vegas psychiatrist disability duringcreditsstinger asperger's syndrome 드라마 
74,381.0,To Catch a Thief,"An ex-thief is accused of enacting a new crime spree, so to clear his name he sets off to catch the new thief, who’s imitating his signature style. hotel falsely accused villa jealousy age difference cat expensive restaurant nice southern france masked ball roof picnic fireworks côte d'azur jewelry police blonde french riviera cat burglar riviera 드라마 스릴러 범죄 미스터리 로맨스 "
